Study_ID,Sample_ID,Blank_collection_method,Blank_Type,Sample_Type,Taxa,Family,Order,Stage,Metamorphosis,Site,Exposure,Stream_Type,Month,Water_Temp,Dissolved_oxygen,Total_Phosphorus,Total_Dissolved_Solids,Total_Suspended_Solids,Ammonia,Total_Organic_Carbon,pH
KK1925,POLFLT_1_Lar_Chiro_MB_3,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1926,POLFLT_1_Lar_Chiro_MB_4,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1927,POLFLT_1_Lar_Chiro_MB_5,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1928,POLFLT_1_Lar_Chiro_MB_6,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1929,POLFLT_1_Lar_Chiro_MB_7,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1930,POLFLT_1_Lar_Chiro_MB_8,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1931,COCH_1_Lar_Stonefly_MB_1,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1932,COCH_1_Lar_Stonefly_MB_2,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1933,COCH_1_Lar_Stonefly_MB_3,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1934,COCH_1_Lar_Stonefly_MB_4,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1935,COCH_1_Lar_Stonefly_MB_5,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1936,COCH_1_Lar_Stonefly_MB_6,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1937,COCH_1_Lar_Stonefly_MB_7,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1938,COCH_1_Lar_Stonefly_MB_8,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1939,CUSHBR_1_Lar_Stonefly_MB_1,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1940,CUSHBR_1_Lar_Stonefly_MB_2,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1941,CUSHBR_1_Lar_Stonefly_MB_3,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1942,CUSHBR_1_Lar_Stonefly_MB_4,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1943,CUSHBR_1_Lar_Stonefly_MB_5,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1944,POLFLT_1_Lar_Stonefly_MB_1,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1945,POLFLT_1_Lar_Stonefly_MB_2,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1946,POLFLT_1_Lar_Stonefly_MB_3,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1947,POLFLT_1_Lar_Stonefly_MB_4,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1948,POLFLT_1_Lar_Stonefly_MB_5,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1949,POLFLT_1_Lar_Stonefly_MB_6,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1950,POLFLT_1_Lar_Stonefly_MB_7,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1951,POLFLT_1_Lar_Stonefly_MB_8,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1952,CUSHBR_MBDI_RINSE_MB_1,Water July,Field,Blank,Water Blank,,,,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1953,CUSHBR_MBDI_RINSE_MB_2,Water July,Field,Blank,Water Blank,,,,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1954,CUSHBR_MBDI_RINSE_MB_3,Water July,Field,Blank,Water Blank,,,,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1955,ACWA_5%_MBDI_RINSE_MB_1,Water September,Field,Blank,Water Blank,,,,,PCR1,,ACWA Streams,September,13,,,,,,,
KK1956,ACWA_5%_MBDI_RINSE_MB_2,Water September,Field,Blank,Water Blank,,,,,PCR1,,ACWA Streams,September,13,,,,,,,
KK1957,ACWA_5%_MBDI_RINSE_MB_3,Water September,Field,Blank,Water Blank,,,,,PCR1,,ACWA Streams,September,13,,,,,,,
KK1958,ACWA_5%_MB_MESH_1,Mesh,Field,Blank,Mesh Blank,,,,,PCR1,,ACWA Streams,September,13,,,,,,,
KK1959,ACWA_5%_MB_MESH_2,Mesh,Field,Blank,Mesh Blank,,,,,PCR1,,ACWA Streams,September,13,,,,,,,
KK1960,ACWA_5%_MB_MESH_3,Mesh,Field,Blank,Mesh Blank,,,,,PCR1,,ACWA Streams,September,13,,,,,,,
KK1961,ACWA_5%_MB_Lar_Mayfly_1,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1962,ACWA_5%_MB_Lar_Mayfly_2,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1963,ACWA_5%_MB_Lar_Mayfly_3,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1964,ACWA_5%_MB_Lar_Mayfly_4,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1965,ACWA_5%_MB_Lar_Mayfly_5,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1966,ACWA_5%_MB_Lar_Mayfly_6,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1967,ACWA_5%_MB_Lar_Mayfly_7,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1968,ACWA_5%_MB_Lar_Mayfly_8,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1969,ACWA_15%_MB_Lar_Mayfly_1,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1970,ACWA_15%_MB_Lar_Mayfly_2,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1971,ACWA_15%_MB_Lar_Mayfly_3,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1972,ACWA_15%_MB_Lar_Mayfly_4,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1973,ACWA_15%_MB_Lar_Mayfly_5,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1974,ACWA_15%_MB_Lar_Mayfly_6,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1975,ACWA_15%_MB_Lar_Mayfly_7,Water September,,Sample,Insect,Baetidae,Ephemeroptera,Larvae,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1976,ACWA_5%_MB_Ad_Mayfly_1,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1977,ACWA_5%_MB_Ad_Mayfly_2,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1978,ACWA_5%_MB_Ad_Mayfly_3,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1979,ACWA_5%_MB_Ad_Mayfly_4,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1980,ACWA_5%_MB_Ad_Mayfly_5,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1981,ACWA_5%_MB_Ad_Mayfly_6,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1982,ACWA_5%_MB_Ad_Mayfly_7,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1983,ACWA_5%_MB_Ad_Mayfly_8,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1984,ACWA_15%_MB_Ad_Mayfly_1,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1985,ACWA_15%_MB_Ad_Mayfly_2,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1986,ACWA_15%_MB_Ad_Mayfly_3,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1987,ACWA_15%_MB_Ad_Mayfly_4,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1988,ACWA_15%_MB_Ad_Mayfly_5,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1989,ACWA_15%_MB_Ad_Mayfly_6,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1990,ACWA_15%_MB_Ad_Mayfly_7,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1991,ACWA_15%_MB_Ad_Mayfly_8,Mesh,,Sample,Insect,Baetidae,Ephemeroptera,Adults,Hemimetabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1992,COCH_MB_Araneid_1,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1993,COCH_MB_Araneid_2,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1994,COCH_MB_Araneid_3,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1995,COCH_MB_Araneid_4,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1996,COCH_MB_Araneid_5,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1997,COCH_MB_Araneid_6,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1998,COCH_MB_Araneid_7,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1999,COCH_MB_Araneid_8,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2000,GRVBR_MB_Araneid_1,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2001,GRVBR_MB_Araneid_2,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2002,GRVBR_MB_Araneid_3,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2003,GRVBR_MB_Araneid_4,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2004,GRVBR_MB_Araneid_5,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2005,GRVBR_MB_Araneid_6,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2006,GRVBR_MB_Araneid_7,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2007,GRVBR_MB_Araneid_8,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2008,CUSHBR_MB_Araneid_1,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2009,CUSHBR_MB_Araneid_2,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2010,CUSHBR_MB_Araneid_3,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2011,CUSHBR_MB_Araneid_4,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2012,CUSHBR_MB_Araneid_5,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2013,CUSHBR_MB_Araneid_6,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2014,CUSHBR_MB_Araneid_7,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2015,CUSHBR_MB_Araneid_8,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2016,SUNAL_MB_Araneid_1,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2017,SUNAL_MB_Araneid_2,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2018,SUNAL_MB_Araneid_3,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2019,SUNAL_MB_Araneid_4,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2020,SUNAL_MB_Araneid_5,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2021,SUNAL_MB_Araneid_6,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2022,SUNAL_MB_Araneid_7,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2023,SUNAL_MB_Araneid_8,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK2024,POLFLT_MB_Araneid_1,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2025,POLFLT_MB_Araneid_2,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2026,POLFLT_MB_Araneid_3,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2027,POLFLT_MB_Araneid_4,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2028,POLFLT_MB_Araneid_5,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2029,POLFLT_MB_Araneid_6,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2030,POLFLT_MB_Araneid_7,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2031,POLFLT_MB_Araneid_8,No_blank,,Sample,Spider,Araneidae,Araneae,Spiders,,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK2032,COCH_MB_Tetragnatha_1,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2033,COCH_MB_Tetragnatha_2,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2034,COCH_MB_Tetragnatha_3,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2035,COCH_MB_Tetragnatha_4,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2036,COCH_MB_Tetragnatha_5,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2037,COCH_MB_Tetragnatha_6,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2038,COCH_MB_Tetragnatha_7,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2039,COCH_MB_Tetragnatha_8,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK2040,GRVBR_MB_Tetragnatha_1,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2041,GRVBR_MB_Tetragnatha_2,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2042,GRVBR_MB_Tetragnatha_3,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2043,GRVBR_MB_Tetragnatha_4,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2044,GRVBR_MB_Tetragnatha_5,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2045,GRVBR_MB_Tetragnatha_6,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2046,GRVBR_MB_Tetragnatha_7,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2047,GRVBR_MB_Tetragnatha_8,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK2048,CUSHBR_MB_Tetragnatha_1,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2049,CUSHBR_MB_Tetragnatha_2,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2050,CUSHBR_MB_Tetragnatha_3,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2051,CUSHBR_MB_Tetragnatha_4,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2052,CUSHBR_MB_Tetragnatha_5,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2053,CUSHBR_MB_Tetragnatha_6,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2054,CUSHBR_MB_Tetragnatha_7,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2055,CUSHBR_MB_Tetragnatha_8,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK2056,SUNAL_MB_Tetragnatha_1,No_blank,,Sample,Spider,Tetragnathidae,Araneae,Spiders,,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
