Study_ID,Sample_ID,Site,Site_code,Long,Lat,Blank_collection_method,Blank_Type,Sample_Type,Family,Order,Stage,Metamorphosis,Exposure,Stream_Type,Month,Water_Temp,Dissolved_oxygen,Conductivity,Total_Phosphorus,Total_Dissolved_Solids,Total_Suspended_Solids,Ammonia,Total_Organic_Carbon,pH,Dissolved_Nitrogen,Nitrate,Nitrite,Dissolved_Organic_Carbon,Orthophosphate
KK1809,COCH_1_Lar_Caddis_MB_1,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1810,COCH_1_Lar_Caddis_MB_2,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1811,COCH_1_Lar_Caddis_MB_3,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1812,COCH_1_Lar_Caddis_MB_4,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1813,COCH_1_Lar_Caddis_MB_5,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1814,COCH_1_Lar_Caddis_MB_6,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1815,COCH_1_Lar_Caddis_MB_7,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1816,COCH_1_Lar_Caddis_MB_8,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1817,CUSHBR_1_Lar_Caddis_MB_1,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1818,CUSHBR_1_Lar_Caddis_MB_2,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1819,CUSHBR_1_Lar_Caddis_MB_3,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1820,CUSHBR_1_Lar_Caddis_MB_4,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1821,CUSHBR_1_Lar_Caddis_MB_5,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1822,SUNAL_1_Lar_Caddis_MB_1,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1823,SUNAL_1_Lar_Caddis_MB_2,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1824,SUNAL_1_Lar_Caddis_MB_3,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1825,SUNAL_1_Lar_Caddis_MB_5,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1826,SUNAL_1_Lar_Caddis_MB_6,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1827,SUNAL_1_Lar_Caddis_MB_7,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1828,SUNAL_1_Lar_Caddis_MB_8,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1829,GRVBR_1_Lar_Caddis_MB_1,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1830,GRVBR_1_Lar_Caddis_MB_2,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1831,GRVBR_1_Lar_Caddis_MB_3,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1832,GRVBR_1_Lar_Caddis_MB_4,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1833,GRVBR_1_Lar_Caddis_MB_5,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1834,GRVBR_1_Lar_Caddis_MB_6,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1835,GRVBR_1_Lar_Caddis_MB_7,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1836,GRVBR_1_Lar_Caddis_MB_8,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1837,POLFLT_1_Lar_Caddis_MB_1,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1838,POLFLT_1_Lar_Caddis_MB_2,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1839,POLFLT_1_Lar_Caddis_MB_3,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1840,POLFLT_1_Lar_Caddis_MB_4,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1841,POLFLT_1_Lar_Caddis_MB_5,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1842,POLFLT_1_Lar_Caddis_MB_6,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1843,POLFLT_1_Lar_Caddis_MB_7,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1844,POLFLT_1_Lar_Caddis_MB_8,Policeman Flats,PMF,-113.946021,50.845144,Water July,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,Exposed,Bow River,July,13.7,9.46,300.6,0.019,165,8.9,0.025,0.9,8.2,,0.328,0.005,,
KK1845,ACWA_Cont_Lar_MB_1,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1846,ACWA_Cont_Lar_MB_2,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1847,ACWA_Cont_Lar_MB_3,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1848,ACWA_Cont_Lar_MB_4,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1849,ACWA_Cont_Lar_MB_5,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1850,ACWA_Cont_Lar_MB_6,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1851,ACWA_Cont_Lar_MB_7,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1852,ACWA_Cont_Lar_MB_8,BRR2,BRR2,-113.992838,50.862517,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,12.84,12.3,319.13,,,,0.091,,8.44,1.6,5.4,0.17,1.7,0.0048
KK1853,ACWA_5%_Lar_MB_1,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1854,ACWA_5%_Lar_MB_2,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1855,ACWA_5%_Lar_MB_3,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1856,ACWA_5%_Lar_MB_4,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1857,ACWA_5%_Lar_MB_5,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1858,ACWA_5%_Lar_MB_6,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1859,ACWA_5%_Lar_MB_7,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1860,ACWA_5%_Lar_MB_8,PCR1,PCR1,-113.992846,50.862417,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.04,12.08,372.79,,,,0.088,,8.44,1.8,6.4,0.16,1.4,0.0068
KK1861,ACWA_15%_Lar_MB_1,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1862,ACWA_15%_Lar_MB_2,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1863,ACWA_15%_Lar_MB_3,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1864,ACWA_15%_Lar_MB_4,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1865,ACWA_15%_Lar_MB_5,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1866,ACWA_15%_Lar_MB_6,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1867,ACWA_15%_Lar_MB_7,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1868,ACWA_15%_Lar_MB_8,PCR3,PCR3,-113.991562,50.86084,Water September,,Sample,Hydropsychidae,Trichoptera,Larvae,Holometabolous,,ACWA Streams,September,13.35,11.22,390.21,,,,0.064,,8.19,2.3,9.5,0.14,2.3,0.012
KK1869,COCH_1_Lar_Mayfly_MB_1,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1870,COCH_1_Lar_Mayfly_MB_2,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1871,COCH_1_Lar_Mayfly_MB_3,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1872,COCH_1_Lar_Mayfly_MB_4,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1873,COCH_1_Lar_Mayfly_MB_5,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1874,COCH_1_Lar_Mayfly_MB_6,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1875,COCH_1_Lar_Mayfly_MB_7,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1876,COCH_1_Lar_Mayfly_MB_8,Cochrane,COCH,-114.490806,51.185778,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,12.5,10.27,256.9,0.008,142,6.2,0.025,1,8.3,,0.104,0.005,,
KK1877,CUSHBR_1_Lar_Mayfly_MB_1,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1878,CUSHBR_1_Lar_Mayfly_MB_2,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1879,CUSHBR_1_Lar_Mayfly_MB_3,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1880,CUSHBR_1_Lar_Mayfly_MB_4,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1881,CUSHBR_1_Lar_Mayfly_MB_5,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1882,CUSHBR_1_Lar_Mayfly_MB_6,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1883,CUSHBR_1_Lar_Mayfly_MB_7,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1884,CUSHBR_1_Lar_Mayfly_MB_8,Cushing Bridge,CUSHBR,-114.010721,51.039244,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.3,9.68,288.4,0.009,158,6.1,0.025,1.3,8.3,,0.095,0.005,,
KK1885,SUNAL_1_Lar_Mayfly_MB_1,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1886,SUNAL_1_Lar_Mayfly_MB_2,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1887,SUNAL_1_Lar_Mayfly_MB_3,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1888,SUNAL_1_Lar_Mayfly_MB_4,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1889,SUNAL_1_Lar_Mayfly_MB_5,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1890,SUNAL_1_Lar_Mayfly_MB_6,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1891,SUNAL_1_Lar_Mayfly_MB_7,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1892,SUNAL_1_Lar_Mayfly_MB_8,Sunalta,SUN,-114.112,51.04707,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Unexposed,Bow River,July,14.7,9.76,265.3,0.008,145,5.1,0.025,1,8.4,,0.085,0.005,,
KK1893,GRVBR_1_Lar_Mayfly_MB_1,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1894,GRVBR_1_Lar_Mayfly_MB_2,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
KK1895,GRVBR_1_Lar_Mayfly_MB_3,Graves Bridge,GRVBR,-114.022,50.98931,Water July,,Sample,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Exposed,Bow River,July,,,,,,,,,,,,,,
